Sampling Period,Municipality,Land use,Heavy metal,Heavy metal concentration (mg/kg DM),Remarks,Year,Sampling date
1995-1999,Surses,Grassland,nickel,326.5,-,1998,16.07.1998
2015-2019,Wald (ZH),Coniferous forest,nickel,31.7,-,2018,05.06.2018
1985-1989,Wettingen,Mixed forest,nickel,43.5,-,1989,26.04.1989
2005-2009,Wettingen,Mixed forest,nickel,44.4,-,2009,06.05.2009
2015-2019,Schleitheim,Crop cultivation,nickel,78.2,-,2016,14.03.2016
1985-1989,Ins,Crop cultivation,nickel,22.3,-,1985,31.10.1985
1995-1999,Pailly,Crop cultivation,nickel,25.1,-,1998,20.10.1998
2005-2009,Kiesen,Crop cultivation,nickel,24.7,-,2007,20.03.2007
1995-1999,Härkingen,Crop cultivation,nickel,30,-,2005,12.04.2005
1985-1989,Alpthal,Coniferous forest,nickel,19.7,-,1989,27.06.1989
1995-1999,Scuol,Coniferous forest,nickel,39.9,-,1998,17.07.1998
2010-2014,Coldrerio,Crop cultivation,nickel,30.5,-,2013,29.01.2013
1995-1999,Schleitheim,Crop cultivation,nickel,74.7,-,1996,23.04.1996
1995-1999,Kiesen,Crop cultivation,nickel,25.6,-,1997,23.09.1997
2000-2004,Kiesen,Crop cultivation,nickel,24.8,-,2002,15.08.2002
1990-1994,Avully,Crop cultivation,nickel,20.4,-,1991,06.08.1991
2000-2004,Härkingen,Crop cultivation,nickel,29.9,-,2010,18.03.2010
2005-2009,Avully,Crop cultivation,nickel,18.7,-,2006,15.03.2006
2000-2004,Hendschiken,Crop cultivation,nickel,14.7,-,2002,07.05.2002
2000-2004,Wiedlisbach,Crop cultivation,nickel,21.2,-,2000,22.02.2000
1990-1994,Visp,Coniferous forest,nickel,41.5,-,1994,19.10.1994
1990-1994,Wiedlisbach,Crop cultivation,nickel,20.8,-,1990,20.02.1990
2005-2009,Cornol,Crop cultivation,nickel,18.1,-,2008,27.02.2008
1990-1994,Cornol,Crop cultivation,nickel,18,-,1993,17.08.1993
2005-2009,Zürich,Mixed forest,nickel,39.3,-,2009,27.05.2009
2000-2004,Zürich,Mixed forest,nickel,39.1,-,2004,23.09.2004
1990-1994,Wettingen,Mixed forest,nickel,44.5,-,1994,15.03.1994
1995-1999,Jussy,Deciduous forest,nickel,37.4,-,1999,09.06.1999
1990-1994,Zürich,Mixed forest,nickel,40.1,-,1994,13.09.1994
2000-2004,Staffelbach,Mixed forest,nickel,15.8,-,2004,02.11.2004
2000-2004,Wettingen,Mixed forest,nickel,44.6,-,2005,13.09.2005
1985-1989,Kappelen,Deciduous forest,nickel,24.9,-,1988,31.08.1988
2000-2004,Surses,Grassland,nickel,344.4,-,2003,03.09.2003
2005-2009,Stammheim,Mixed forest,nickel,31.7,-,2009,19.03.2009
2015-2019,Hendschiken,Crop cultivation,nickel,15.8,-,2017,16.03.2017
2005-2009,Pailly,Crop cultivation,nickel,25.1,-,2008,13.03.2008
2000-2004,Visp,Coniferous forest,nickel,42.5,-,2004,10.06.2004
2010-2014,Schleitheim,Crop cultivation,nickel,77.4,-,2011,01.03.2011
1995-1999,Gsteig,Coniferous forest,nickel,6.9,-,1998,22.09.1998
1990-1994,Pailly,Crop cultivation,nickel,23,-,1993,27.10.1993
2015-2019,Pailly,Crop cultivation,nickel,21.5,-,2017,14.03.2017
1985-1989,Domleschg,Crop cultivation,nickel,45.2,-,1988,11.08.1988
2005-2009,Domleschg,Crop cultivation,nickel,39.9,-,2008,19.03.2008
1990-1994,Oberriet (SG),Crop cultivation,nickel,43.9,-,1992,20.10.1992
1985-1989,Möhlin,Crop cultivation,nickel,17.9,-,1986,11.07.1986
2010-2014,Oberriet (SG),Crop cultivation,nickel,33.8,-,2012,29.03.2012
2010-2014,Niedermuhlern,Crop cultivation,nickel,16.9,-,2011,08.03.2011
1995-1999,Oberriet (SG),Crop cultivation,nickel,41.5,-,1997,02.09.1997
2000-2004,Davos,Coniferous forest,nickel,6.1,-,2004,16.06.2004
1995-1999,Davos,Coniferous forest,nickel,6.8,-,1999,03.08.1999
2000-2004,Gempen,Crop cultivation,nickel,20.2,-,2003,17.04.2003
2015-2019,Oberriet (SG),Crop cultivation,nickel,37.7,-,2017,23.02.2017
2005-2009,Oberriet (SG),Crop cultivation,nickel,41.6,-,2007,27.03.2007
1985-1989,Oberriet (SG),Crop cultivation,nickel,25.6,-,1987,23.09.1987
1985-1989,Eschenbach (LU),Crop cultivation,nickel,23.5,-,1986,03.09.1986
2015-2019,Eschenbach (LU),Crop cultivation,nickel,23.1,-,2016,07.07.2016
1990-1994,Val-de-Ruz,Crop cultivation,nickel,26.1,-,1991,04.06.1991
1990-1994,Vouvry,Crop cultivation,nickel,33.6,-,1994,18.10.1994
2005-2009,Albula/Alvra,Coniferous forest,nickel,3.2,-,2008,02.07.2008
1985-1989,Niedermuhlern,Crop cultivation,nickel,16.2,-,1986,07.05.1986
1990-1994,Eschenbach (LU),Crop cultivation,nickel,24.3,-,1991,26.03.1991
2000-2004,Niedermuhlern,Crop cultivation,nickel,16,-,2001,05.06.2001
1985-1989,Oensingen,Crop cultivation,nickel,30.6,-,1988,27.06.1988
1990-1994,Gempen,Crop cultivation,nickel,20.3,-,1993,28.04.1993
2000-2004,Santa Maria in Calanca,Coniferous forest,nickel,11.5,-,2003,17.09.2003
2000-2004,Oensingen,Crop cultivation,nickel,30.4,-,2003,19.03.2003
1995-1999,Vouvry,Crop cultivation,nickel,32.6,-,1999,26.04.1999
2005-2009,Koppigen,Crop cultivation,nickel,17.8,-,2006,09.08.2006
1995-1999,Koppigen,Crop cultivation,nickel,18.5,-,1996,28.02.1996
1995-1999,Wiedlisbach,Crop cultivation,nickel,20.8,-,1995,01.03.1995
2010-2014,Koppigen,Crop cultivation,nickel,18.4,-,2011,17.03.2011
1985-1989,Koppigen,Crop cultivation,nickel,18.2,-,1986,30.10.1986
2010-2014,Val-de-Ruz,Crop cultivation,nickel,26.6,-,2011,16.03.2011
2005-2009,Val-de-Ruz,Crop cultivation,nickel,26.5,-,2006,14.09.2006
1995-1999,L'Abbaye,Coniferous forest,nickel,22.9,-,1998,19.10.1998
1990-1994,Koppigen,Crop cultivation,nickel,18.9,-,1991,03.04.1991
2015-2019,Val-de-Ruz,Crop cultivation,nickel,23.7,-,2016,15.03.2016
1995-1999,Haute-Ajoie,Crop cultivation,nickel,20.9,-,1998,21.10.1998
1995-1999,Oensingen,Crop cultivation,nickel,30.1,-,1998,06.01.1998
1990-1994,Haute-Ajoie,Crop cultivation,nickel,20.6,-,1993,17.08.1993
2005-2009,Haute-Ajoie,Crop cultivation,nickel,21.4,-,2008,27.02.2008
1985-1989,Schleitheim,Crop cultivation,nickel,71.3,-,1986,13.08.1986
2000-2004,Mels,Mixed forest,nickel,15,-,2003,22.09.2003
1990-1994,Stammheim,Mixed forest,nickel,33.5,-,1994,11.05.1994
2005-2009,Mels,Mixed forest,nickel,14.9,-,2008,30.04.2008
1990-1994,Staffelbach,Mixed forest,nickel,16.1,-,1994,09.03.1994
2000-2004,Möhlin,Crop cultivation,nickel,18.1,-,2001,20.08.2001
2005-2009,Staatswald Galm,Mixed forest,nickel,10.9,-,2009,27.10.2009
1990-1994,Staatswald Galm,Mixed forest,nickel,10.1,-,1994,20.09.1994
2000-2004,Stammheim,Mixed forest,nickel,32.3,-,2004,15.04.2004
1995-1999,Albula/Alvra,Coniferous forest,nickel,3.5,-,1998,16.07.1998
1995-1999,Wald (ZH),Coniferous forest,nickel,31.1,-,1998,28.08.1998
1990-1994,Wald (ZH),Coniferous forest,nickel,34.1,-,1993,08.09.1993
2015-2019,Mels,Mixed forest,nickel,18.9,-,2018,29.05.2018
1995-1999,Mels,Mixed forest,nickel,15,-,1998,14.05.1998
1985-1989,Stammheim,Mixed forest,nickel,33,-,1989,24.05.1989
2010-2014,Mels,Mixed forest,nickel,14.7,-,2013,04.06.2013
1985-1989,Mels,Mixed forest,nickel,15.2,-,1988,01.06.1988
1990-1994,Mels,Mixed forest,nickel,15.1,-,1993,04.08.1993
1990-1994,Kappelen,Deciduous forest,nickel,24.7,-,1993,31.08.1993
2015-2019,Vallon,Crop cultivation,nickel,71,-,2017,15.02.2017
2000-2004,Vallon,Crop cultivation,nickel,67.3,-,2002,24.09.2002
1995-1999,Val-de-Ruz,Crop cultivation,nickel,28,-,1996,10.04.1996
2000-2004,Oberriet (SG),Crop cultivation,nickel,41.4,-,2002,30.04.2002
1995-1999,Möhlin,Crop cultivation,nickel,19.2,-,1996,20.03.1996
1990-1994,Santa Maria in Calanca,Coniferous forest,nickel,11.7,-,1993,21.09.1993
1985-1989,Val-de-Ruz,Crop cultivation,nickel,27.6,-,1986,10.09.1986
2005-2009,Möhlin,Crop cultivation,nickel,18.1,-,2006,20.03.2006
1985-1989,Vallon,Crop cultivation,nickel,65.2,-,1987,28.08.1987
1995-1999,Vallon,Crop cultivation,nickel,67.3,-,1997,23.09.1997
2000-2004,Koppigen,Crop cultivation,nickel,18.4,-,2001,09.10.2001
2000-2004,Val-de-Ruz,Crop cultivation,nickel,26.3,-,2001,06.09.2001
2000-2004,Gsteig,Coniferous forest,nickel,7.2,-,2003,11.09.2003
2000-2004,Ins,Crop cultivation,nickel,25.2,-,2000,05.06.2000
1995-1999,Staatswald Galm,Mixed forest,nickel,9.9,-,1999,20.04.1999
1990-1994,Gsteig,Coniferous forest,nickel,7.1,-,1993,13.10.1993
1990-1994,Davos,Coniferous forest,nickel,6.5,-,1994,04.10.1994
1995-1999,Santa Maria in Calanca,Coniferous forest,nickel,12.3,-,1998,17.03.1998
2015-2019,Koppigen,Crop cultivation,nickel,14.6,-,2016,21.03.2016
2015-2019,Etoy,Crop cultivation,nickel,54.4,-,2017,14.02.2017
1985-1989,Vouvry,Crop cultivation,nickel,33.5,-,1989,08.11.1989
2005-2009,St. Moritz,Protected sites,nickel,4.1,-,2008,21.08.2008
2015-2019,Wartau,Special crops,nickel,26.3,-,2016,05.04.2016
1990-1994,Wartau,Special crops,nickel,25.2,-,1992,20.10.1992
2005-2009,Etoy,Crop cultivation,nickel,52.1,-,2008,13.03.2008
2000-2004,Dällikon,Special crops,nickel,21.4,-,2003,24.06.2003
1990-1994,Chamoson,Special crops,nickel,29.1,-,1994,19.10.1994
2015-2019,Entlebuch,Grassland,nickel,6.3,-,2018,18.04.2018
2005-2009,Wartau,Special crops,nickel,24.1,-,2007,05.04.2007
2000-2004,Wartau,Special crops,nickel,23.9,-,2002,14.08.2002
1995-1999,Chamoson,Special crops,nickel,28.8,-,1999,07.09.1999
2000-2004,Etoy,Crop cultivation,nickel,52.1,-,2003,13.03.2003
1990-1994,St. Moritz,Protected sites,nickel,3.4,-,1993,11.11.1993
2015-2019,Lugano,Urban park,nickel,31.3,-,2019,14.02.2019
1995-1999,Buchegg,Grassland,nickel,22.8,-,1999,08.03.1999
1985-1989,Glarus Nord,Grassland,nickel,40.2,-,1986,23.09.1986
2005-2009,Buchegg,Grassland,nickel,22.8,-,2009,13.03.2009
1990-1994,Roggwil (TG),Special crops,nickel,18.9,-,1991,27.03.1991
2015-2019,Mathod,Special crops,nickel,59.4,-,2018,02.05.2018
2000-2004,Zernez,Protected sites,nickel,5.9,-,2003,04.09.2003
1985-1989,Chamoson,Special crops,nickel,29.6,-,1989,31.10.1989
1995-1999,St. Moritz,Protected sites,nickel,3.9,-,1998,16.07.1998
1995-1999,Mathod,Special crops,nickel,57.3,-,1998,04.03.1998
1985-1989,Sant'Antonino,Special crops,nickel,27.1,-,1988,13.12.1988
1985-1989,Bellinzona,Special crops,nickel,14.4,-,1989,09.05.1989
2015-2019,Sant'Antonino,Special crops,nickel,29,-,2018,13.02.2018
1995-1999,Bellinzona,Special crops,nickel,13.7,-,1999,24.03.1999
2005-2009,Winterthur,Urban park,nickel,25.3,-,2008,25.06.2008
2005-2009,Zernez,Protected sites,nickel,6.1,-,2008,22.08.2008
2010-2014,Bellinzona,Special crops,nickel,12.2,-,2014,13.03.2014
1985-1989,St. Moritz,Protected sites,nickel,2.9,-,1988,08.11.1988
1995-1999,Wartau,Special crops,nickel,23.1,-,1997,15.10.1997
1995-1999,Sant'Antonino,Special crops,nickel,26.9,-,1998,17.03.1998
2010-2014,Glarus Nord,Grassland,nickel,41.1,-,2011,24.03.2011
2010-2014,Mathod,Special crops,nickel,56.2,-,2013,02.04.2013
2000-2004,Winterthur,Urban park,nickel,25.8,-,2003,24.04.2003
1985-1989,Wartau,Special crops,nickel,22.2,-,1987,04.11.1987
1990-1994,Aristau,Protected sites,nickel,33.3,-,1994,22.03.1994
1985-1989,Aristau,Protected sites,nickel,33.7,-,1989,03.05.1989
2005-2009,Aristau,Protected sites,nickel,34.2,-,2009,19.03.2009
2015-2019,La Neuveville,Special crops,nickel,29.5,-,2015,15.04.2015
2005-2009,Conthey,Special crops,nickel,30.8,-,2005,30.08.2005
2000-2004,Aristau,Protected sites,nickel,35.2,-,2004,23.09.2004
1990-1994,Entlebuch,Grassland,nickel,7.2,-,1993,08.06.1993
2000-2004,Neuchâtel,Grassland,nickel,32.7,-,2010,21.04.2010
2010-2014,Etoy,Crop cultivation,nickel,52,-,2013,05.03.2013
1985-1989,Etoy,Crop cultivation,nickel,53.3,-,1988,19.07.1988
1990-1994,Conthey,Special crops,nickel,32.5,-,1990,09.05.1990
1985-1989,Buchegg,Grassland,nickel,20.8,-,1989,04.04.1989
1990-1994,Rifferswil,Protected sites,nickel,2.5,-,1993,08.09.1993
1985-1989,Entlebuch,Grassland,nickel,6.8,-,1988,15.06.1988
2015-2019,Conthey,Special crops,nickel,31.9,-,2015,14.04.2015
1990-1994,La Neuveville,Special crops,nickel,27.6,-,1990,06.03.1990
1990-1994,Sant'Antonino,Special crops,nickel,27,-,1993,22.09.1993
2000-2004,Conthey,Special crops,nickel,31.6,-,2000,28.06.2000
2000-2004,Sant'Antonino,Special crops,nickel,26.6,-,2003,13.05.2003
2005-2009,Oensingen,Crop cultivation,nickel,30.6,-,2008,21.02.2008
2010-2014,Sant'Antonino,Special crops,nickel,26.8,-,2013,29.01.2013
2005-2009,Neuchâtel,Grassland,nickel,33.9,-,2015,14.04.2015
2000-2004,La Neuveville,Special crops,nickel,29.1,-,2000,12.07.2000
1995-1999,Roggwil (TG),Special crops,nickel,18.7,-,1996,17.04.1996
2015-2019,Glarus Nord,Grassland,nickel,48.6,-,2016,17.02.2016
1995-1999,Etoy,Crop cultivation,nickel,51.6,-,1998,16.04.1998
1995-1999,Zernez,Protected sites,nickel,6,-,1998,17.07.1998
1985-1989,Conthey,Special crops,nickel,31.7,-,1985,31.07.1985
1990-1994,Buchegg,Grassland,nickel,22.9,-,1994,17.08.1994
1995-1999,La Neuveville,Special crops,nickel,24.9,-,1995,22.03.1995
1985-1989,La Neuveville,Special crops,nickel,30.3,-,1985,06.08.1985
2010-2014,Lugano,Urban park,nickel,32.7,-,2014,27.02.2014
2005-2009,Sant'Antonino,Special crops,nickel,26.4,-,2008,12.02.2008
1985-1989,Roggwil (TG),Special crops,nickel,18.2,-,1986,10.06.1986
2005-2009,Nyon,Special crops,nickel,61.9,-,2008,21.05.2008
2005-2009,Lugano,Urban park,nickel,33.4,-,2009,19.02.2009
1995-1999,Aristau,Protected sites,nickel,31,-,1999,06.01.1999
2000-2004,Buchegg,Grassland,nickel,23,-,2004,18.03.2004
1985-1989,Visp,Coniferous forest,nickel,43.5,-,1989,08.08.1989
2000-2004,Domleschg,Crop cultivation,nickel,41.1,-,2003,07.07.2003
1990-1994,Coldrerio,Crop cultivation,nickel,32.1,-,1993,22.09.1993
2005-2009,Scuol,Coniferous forest,nickel,38.6,-,2008,03.07.2008
1990-1994,Scuol,Coniferous forest,nickel,40.9,-,1993,30.06.1993
2000-2004,Schleitheim,Crop cultivation,nickel,73.4,-,2001,05.09.2001
1990-1994,Langenthal,Mixed forest,nickel,16,-,1994,25.05.1994
2015-2019,Langenthal,Mixed forest,nickel,19.9,-,2019,11.04.2019
1995-1999,Coldrerio,Crop cultivation,nickel,31.1,-,1998,17.03.1998
2010-2014,Langenthal,Mixed forest,nickel,16.7,-,2014,10.03.2014
2010-2014,Montanaire,Mixed forest,nickel,18,-,2014,01.04.2014
2000-2004,Vouvry,Crop cultivation,nickel,33.3,-,2004,17.03.2004
1985-1989,Scuol,Coniferous forest,nickel,40.7,-,1988,10.08.1988
2010-2014,Leuggern,Crop cultivation,nickel,16.8,-,2011,23.02.2011
1990-1994,Domleschg,Crop cultivation,nickel,42.5,-,1993,04.08.1993
1985-1989,Coldrerio,Crop cultivation,nickel,31.7,-,1988,14.12.1988
2005-2009,Coldrerio,Crop cultivation,nickel,30.9,-,2008,12.02.2008
2015-2019,Domleschg,Crop cultivation,nickel,36.2,-,2017,06.03.2017
2000-2004,Scuol,Coniferous forest,nickel,38.1,-,2003,24.09.2003
1990-1994,Hendschiken,Crop cultivation,nickel,14.8,-,1992,20.10.1992
2000-2004,Langenthal,Mixed forest,nickel,16.3,-,2004,10.06.2004
1995-1999,Hendschiken,Crop cultivation,nickel,14.5,-,1997,24.09.1997
2000-2004,Wald (ZH),Coniferous forest,nickel,33.8,-,2003,15.04.2003
2005-2009,Langenthal,Mixed forest,nickel,16.5,-,2009,12.03.2009
2005-2009,Hendschiken,Crop cultivation,nickel,14.4,-,2007,21.03.2007
2005-2009,Visp,Coniferous forest,nickel,42.6,-,2009,02.04.2009
1995-1999,Visp,Coniferous forest,nickel,41,-,1999,01.06.1999
2010-2014,Hendschiken,Crop cultivation,nickel,14.5,-,2012,22.03.2012
2000-2004,Avully,Crop cultivation,nickel,19.2,-,2001,15.08.2001
2015-2019,Montanaire,Mixed forest,nickel,18.4,-,2019,23.05.2019
1990-1994,Montanaire,Mixed forest,nickel,18,-,1994,20.09.1994
1985-1989,Leuggern,Crop cultivation,nickel,14.3,-,1986,20.08.1986
2000-2004,Albula/Alvra,Coniferous forest,nickel,3.2,-,2003,18.09.2003
2005-2009,Montanaire,Mixed forest,nickel,18.1,-,2009,01.04.2009
1995-1999,Langenthal,Mixed forest,nickel,16,-,1999,07.01.1999
1985-1989,Wald (ZH),Coniferous forest,nickel,34.1,-,1988,06.09.1988
2005-2009,Wiedlisbach,Crop cultivation,nickel,19.9,-,2005,19.05.2005
1985-1989,Langenthal,Mixed forest,nickel,16.8,-,1989,29.03.1989
1985-1989,Dällikon,Special crops,nickel,23,-,1988,07.06.1988
2005-2009,La Neuveville,Special crops,nickel,25.4,-,2005,26.04.2005
1995-1999,Dällikon,Special crops,nickel,22.5,-,1998,26.02.1998
2000-2004,Glarus Süd,Grassland,nickel,29.5,-,2004,17.06.2004
2010-2014,Conthey,Special crops,nickel,31,-,2010,17.03.2010
2010-2014,Wartau,Special crops,nickel,24,-,2012,29.03.2012
1985-1989,Glarus Süd,Grassland,nickel,31.5,-,1989,20.09.1989
2015-2019,Roggwil (TG),Special crops,nickel,17.9,-,2016,20.04.2016
1985-1989,Lugano,Urban park,nickel,33.9,-,1989,10.05.1989
2000-2004,Nyon,Special crops,nickel,61.7,-,2003,13.03.2003
1990-1994,Lugano,Urban park,nickel,33.1,-,1994,22.11.1994
2010-2014,Winterthur,Urban park,nickel,25.4,-,2013,30.05.2013
1990-1994,Mathod,Special crops,nickel,56.9,-,1993,27.10.1993
1990-1994,Winterthur,Urban park,nickel,26.5,-,1993,23.06.1993
1995-1999,Glarus Süd,Grassland,nickel,30.5,-,1999,03.08.1999
2000-2004,Nesslau,Grassland,nickel,9.2,-,2004,19.07.2004
1995-1999,Birwinken,Crop cultivation,nickel,25.2,-,1998,31.03.1998
2005-2009,Nesslau,Grassland,nickel,9.6,-,2009,28.05.2009
1990-1994,Bellinzona,Special crops,nickel,14.2,-,1994,22.11.1994
1990-1994,Etoy,Crop cultivation,nickel,52.9,-,1993,03.11.1993
1990-1994,Glarus Süd,Grassland,nickel,28.9,-,1994,03.08.1994
1985-1989,Zernez,Protected sites,nickel,5.9,-,1988,09.08.1988
1990-1994,Nyon,Special crops,nickel,65.4,-,1993,03.11.1993
1990-1994,Zernez,Protected sites,nickel,6,-,1993,30.06.1993
2010-2014,Domleschg,Crop cultivation,nickel,40.5,-,2013,09.04.2013
1995-1999,Domleschg,Crop cultivation,nickel,42.2,-,1998,13.05.1998
2015-2019,Coldrerio,Crop cultivation,nickel,34.8,-,2018,12.02.2018
2000-2004,St. Moritz,Protected sites,nickel,3.8,-,2003,03.09.2003
2015-2019,Bellinzona,Special crops,nickel,13.8,-,2019,13.02.2019
1985-1989,Winterthur,Urban park,nickel,26.3,-,1988,21.06.1988
2005-2009,Glarus Süd,Grassland,nickel,29.9,-,2009,25.06.2009
2005-2009,Bellinzona,Special crops,nickel,12.5,-,2009,20.02.2009
2015-2019,Nyon,Special crops,nickel,69.1,-,2018,07.02.2018
1985-1989,Mathod,Special crops,nickel,56.9,-,1988,12.07.1988
2000-2004,Bellinzona,Special crops,nickel,13.6,-,2004,02.03.2004
2005-2009,Roggwil (TG),Special crops,nickel,18.5,-,2006,11.07.2006
1990-1994,Dällikon,Special crops,nickel,21.9,-,1993,23.06.1993
2000-2004,Roggwil (TG),Special crops,nickel,19,-,2001,27.06.2001
1985-1989,St. Stephan,Grassland,nickel,44.4,-,1988,28.04.1988
2005-2009,Schleitheim,Crop cultivation,nickel,77.6,-,2006,20.03.2006
1990-1994,Grindelwald,Grassland,nickel,7.1,-,1994,01.06.1994
1990-1994,Orbe,Deciduous forest,nickel,10.7,-,1994,27.09.1994
2005-2009,Aadorf,Grassland,nickel,43.8,-,2009,18.03.2009
1995-1999,Entlebuch,Grassland,nickel,6.7,-,1998,18.03.1998
2000-2004,Aadorf,Grassland,nickel,43.9,-,2004,15.04.2004
2000-2004,Entlebuch,Grassland,nickel,7.3,-,2003,15.04.2003
2010-2014,Landquart,Crop cultivation,nickel,31.6,-,2013,18.03.2013
1995-1999,Grindelwald,Grassland,nickel,7.3,-,1999,15.06.1999
2000-2004,St. Stephan,Grassland,nickel,41.9,-,2003,11.09.2003
2015-2019,Aadorf,Grassland,nickel,46.8,-,2019,20.03.2019
1985-1989,Grindelwald,Grassland,nickel,7.6,-,1989,26.07.1989
2010-2014,Ebikon,Grassland,nickel,26.5,-,2014,11.03.2014
1995-1999,Aadorf,Grassland,nickel,43.5,-,1999,03.03.1999
2010-2014,Vouvry,Crop cultivation,nickel,33.9,-,2014,18.03.2014
1990-1994,Ernen,Grassland,nickel,20.7,-,1994,19.10.1994
2005-2009,St. Stephan,Grassland,nickel,41.3,-,2008,06.08.2008
1990-1994,St. Stephan,Grassland,nickel,43.5,-,1993,15.09.1993
2000-2004,Leuggern,Crop cultivation,nickel,14.9,-,2001,20.08.2001
1995-1999,Leuggern,Crop cultivation,nickel,14.3,-,1996,20.03.1996
2000-2004,Gais,Grassland,nickel,18.1,-,2004,21.04.2004
1995-1999,St. Stephan,Grassland,nickel,42.4,-,1998,22.09.1998
1985-1989,Payerne,Grassland,nickel,29.8,-,1985,16.10.1985
1990-1994,Payerne,Grassland,nickel,29,-,1990,06.03.1990
2005-2009,Payerne,Grassland,nickel,29.3,-,2005,31.05.2005
1985-1989,Gais,Grassland,nickel,19,-,1989,26.09.1989
2015-2019,Payerne,Grassland,nickel,30.2,-,2015,16.03.2015
2015-2019,Attalens,Grassland,nickel,41.6,-,2020,04.03.2020
2005-2009,Clos du Doubs,Deciduous forest,nickel,15.3,-,2008,08.05.2008
1995-1999,Clos du Doubs,Deciduous forest,nickel,16.6,-,1998,21.10.1998
2015-2019,Vouvry,Crop cultivation,nickel,33.4,-,2019,19.02.2019
1995-1999,Unterschächen,Grassland,nickel,26.7,-,1999,04.05.1999
2000-2004,Clos du Doubs,Deciduous forest,nickel,17.4,-,2003,10.09.2003
2000-2004,Grindelwald,Grassland,nickel,6.3,-,2004,07.07.2004
2010-2014,Aadorf,Grassland,nickel,43.8,-,2014,26.03.2014
1985-1989,Landquart,Crop cultivation,nickel,32.2,-,1988,12.08.1988
2005-2009,Grindelwald,Grassland,nickel,6.7,-,2009,19.06.2009
1990-1994,Unterschächen,Grassland,nickel,26.7,-,1994,20.07.1994
1990-1994,La Sarraz,Crop cultivation,nickel,46.9,-,1990,06.03.1990
2000-2004,Unterschächen,Grassland,nickel,26.1,-,2004,14.04.2004
2005-2009,Unterschächen,Grassland,nickel,25.8,-,2009,23.04.2009
1985-1989,Unterschächen,Grassland,nickel,26.8,-,1989,20.09.1989
2015-2019,La Sarraz,Crop cultivation,nickel,44.3,-,2015,10.03.2015
1995-1999,Bettlach,Deciduous forest,nickel,8,-,1998,08.01.1998
2015-2019,Winterthur,Urban park,nickel,27.7,-,2017,23.03.2017
2015-2019,Unterschächen,Grassland,nickel,29.9,-,2020,16.04.2020
1985-1989,Köniz,Crop cultivation,nickel,17.4,-,1986,01.07.1986
2010-2014,Unterschächen,Grassland,nickel,25.6,-,2015,08.04.2015
1985-1989,Saint-Martin (VS),Grassland,nickel,9.5,-,1989,30.08.1989
2005-2009,Erstfeld,Grassland,nickel,12.5,-,2009,09.04.2009
